gene	078_coldM	083_coldM	088_coldM	093_coldM	095_coldM	099_coldM	081_coldF	084_coldF	085_coldF	087_coldF	092_coldF	094_coldF
ENSMUSG00000089410	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047161	3	0	0	3	1	0	0	2	0	0	1	5
ENSMUSG00000077090	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077096	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077095	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085885	1	0	1	0	0	1	0	0	0	3	1	0
ENSMUSG00000085884	5	8	6	0	5	1	9	3	6	6	3	2
ENSMUSG00000085887	3	2	5	5	14	2	6	6	4	14	4	13
ENSMUSG00000085886	1	3	2	1	0	0	0	0	1	2	0	0
ENSMUSG00000085881	9	8	6	9	23	4	14	7	10	11	7	18
ENSMUSG00000085880	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000085883	1	0	0	0	1	0	2	0	0	2	0	1
ENSMUSG00000085882	12	14	3	10	20	13	16	8	12	10	8	14
ENSMUSG00000085889	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085888	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029919	17	15	19	22	31	31	21	18	33	32	17	15
ENSMUSG00000029918	214	145	142	241	289	153	178	104	196	136	219	202
ENSMUSG00000100172	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029915	4	0	0	1	3	3	3	3	6	4	0	4
ENSMUSG00000029917	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029916	229	148	154	184	241	211	265	151	251	229	234	241
ENSMUSG00000029911	691	474	471	542	699	644	694	426	615	549	622	550
ENSMUSG00000029910	65	47	58	36	62	53	49	36	54	53	41	47
ENSMUSG00000029913	8	4	5	7	3	3	6	1	9	8	3	2
ENSMUSG00000077549	7	6	3	5	1	4	5	0	3	2	0	5
