"" "log2FoldChange" "padj" "log2FoldChange" "padj" "padj" Amb&Conserved
"ENSMUSG00000001995" -0.474415631215186 0.0771703374884295 -0.968685674250232 0.0307054897124142 0.539570140593529 Amb&Conserved
"ENSMUSG00000001998" 0.468118564122207 0.00220863380739031 0.371181590945811 0.27128378669784 0.913778885081362 Amb&Conserved
"ENSMUSG00000002020" -0.250199056005627 0.442993356378867 -1.01045614460175 0.251597136373256 0.837369580198626 Amb&Conserved
"ENSMUSG00000002059" -0.583470841603993 0.00730042360379781 -0.0813287020720305 0.891482494873723 0.7094236300505 Amb&Conserved
"ENSMUSG00000002103" 0.00471264164076687 0.972722451367699 0.407348605874298 0.537727646128567 0.593701816399754 Amb&Conserved
"ENSMUSG00000002107" -0.23045157635695 0.368289950205056 -0.0420088001254633 0.949624248195355 0.959090347114253 Amb&Conserved
"ENSMUSG00000002108" -0.0980760876479574 0.422532852345004 -0.0967916375183998 0.786254276784 0.932754052600111 Amb&Conserved
"ENSMUSG00000002111" -0.050855743846865 0.835999837158526 -0.377682827577382 0.541917182650465 0.769158554187192 Amb&Conserved
"ENSMUSG00000002129" 0.223124115137578 0.0538105208693293 0.330525171990705 0.722065302356611 0.999346359497878 Amb&Conserved
"ENSMUSG00000002147" 0.0265103093779995 0.82170791234239 -0.0156773673658312 0.976233093548447 0.945054872668804 Amb&Conserved
"ENSMUSG00000002205" -0.217383947243251 0.0717672216426057 -0.169482404745242 0.521361651811813 0.984794776616017 Amb&Conserved
"ENSMUSG00000002210" -0.496309259804936 9.47330286728665e-05 -0.308034830525506 0.590711096371171 0.945138440776385 Amb&Conserved
"ENSMUSG00000002221" 0.189700629642885 0.108941764736553 0.284898171813915 0.308260663451972 0.995966421393778 Amb&Conserved
"ENSMUSG00000002307" -0.0921231882626366 0.525097847832474 -0.400164595119802 0.156205795974653 0.369877120874065 Amb&Conserved
"ENSMUSG00000002308" -0.669425474640559 0.00313954696419605 -0.209374828477314 0.782163363832896 0.706336483333579 Amb&Conserved
"ENSMUSG00000002319" -0.309373050322975 0.124732893753018 0.328570528540845 0.488747934250093 0.216840331339494 Amb&Conserved
"ENSMUSG00000002325" -0.376050674493157 0.0212394480980098 -0.0570669168418752 0.897293962342102 0.5444087890433 Amb&Conserved
"ENSMUSG00000002326" -0.665068559428146 0.00184577035754112 -0.403394725608944 0.521361651811813 0.989975445412274 Amb&Conserved
"ENSMUSG00000002346" 0.117034790730939 0.430121479013741 0.0401001488489593 0.890687805367404 0.49921875980763 Amb&Conserved
"ENSMUSG00000002365" -0.0492460327503946 0.741484564425375 -0.00641430032195268 0.976643593913936 0.992679342555295 Amb&Conserved
"ENSMUSG00000002413" 0.185707324360315 0.0815012936103374 0.0382592696842922 0.952157815384189 0.589394209109462 Amb&Conserved
"ENSMUSG00000002428" 0.216923027535348 0.144100970320633 -0.0803377349219524 0.859261415804354 0.477318609791684 Amb&Conserved
"ENSMUSG00000002455" 0.145407877293887 0.4631553576555 0.0794205352496892 0.879636000936276 0.888028262523596 Amb&Conserved
"ENSMUSG00000002458" -0.353202987024207 0.24742346553537 -0.368844476639678 0.629354476655923 1 Amb&Conserved
"ENSMUSG00000002475" 0.190444506403005 0.0711343191746715 0.17300989468174 0.422225910619971 0.805311228955614 Amb&Conserved
"ENSMUSG00000002504" -0.177974607642188 0.262701464058151 -0.0712807932790773 0.866836483034506 0.959477957648078 Amb&Conserved
"ENSMUSG00000002524" -0.105162041558288 0.42737825476285 0.354740362512539 0.320959953552809 0.0932870086708863 Amb&Conserved
