"" "log2FoldChange" "padj" "log2FoldChange" "padj" "batpvals_coldmale_adj" Amb&Conserved
"ENSMUSG00000000568" 0.0816578159801169 0.514568361817677 0.102474642379906 0.777146825297228 1 Amb&Conserved
"ENSMUSG00000000581" -0.305526204985813 0.326151321291628 0.0669945644716144 0.941863193468351 0.713336124861449 Amb&Conserved
"ENSMUSG00000000594" 0.0100815804138098 0.967666514570301 1.12891524284631 0.104615490560737 0.0850301124454794 Amb&Conserved
"ENSMUSG00000000708" -0.197648877379193 0.0777661966550749 -0.117267778462775 0.733247087237318 0.976961184629477 Amb&Conserved
"ENSMUSG00000000738" 0.261653016501453 0.0591942644915304 0.148490941066045 0.781228861713679 1 Amb&Conserved
"ENSMUSG00000000740" 0.0217698237736501 0.910482663933117 0.0511728859706383 0.772129545275541 1 Amb&Conserved
"ENSMUSG00000000743" -0.0718727133761307 0.78783260832212 -0.272283337913183 0.389043908892604 0.795569724172977 Amb&Conserved
"ENSMUSG00000000751" 0.0459509146751351 0.815027011441285 -0.0192067315327122 0.977376070493793 1 Amb&Conserved
"ENSMUSG00000000759" 0.0705849919510734 0.433657262095696 -0.0965960932059588 0.808804847923869 0.87400978744028 Amb&Conserved
"ENSMUSG00000000811" -0.443219704720743 0.00128512837567398 -0.00450759086369993 0.994025050012288 0.52950860532072 Amb&Conserved
"ENSMUSG00000000826" -0.0312357053574245 0.808079359304588 -0.0665454300521514 0.808566704852795 1 Amb&Conserved
"ENSMUSG00000000876" -0.00189425379751706 0.991764284346274 -0.00519362962606304 0.983592902862609 1 Amb&Conserved
"ENSMUSG00000000902" 0.203134348530269 0.0505945876787904 0.150954983540577 0.598970858181276 1 Amb&Conserved
"ENSMUSG00000000957" -0.239164954242079 0.358437746126535 -0.361120447167445 0.794153010882842 1 Amb&Conserved
"ENSMUSG00000000976" 0.229235585722201 0.040110644399305 -0.223203098229805 0.739944491619874 0.820841192890091 Amb&Conserved
"ENSMUSG00000001029" -0.0117847809501053 0.970290054759371 -0.290191455378031 0.747024087212092 0.882568442814072 Amb&Conserved
"ENSMUSG00000001052" 0.16235708455448 0.358408295545531 0.196023857901463 0.528306525541272 0.994219633352775 Amb&Conserved
"ENSMUSG00000001054" -0.173648953378133 0.314903975670816 -0.205672108679588 0.433894365500412 1 Amb&Conserved
"ENSMUSG00000001062" -0.178658944901169 0.141295872103593 -0.17845690173045 0.680280533929871 1 Amb&Conserved
"ENSMUSG00000001065" 0.273487607053367 0.148632090446185 0.0885657066986919 0.872699895977041 0.926493164348409 Amb&Conserved
"ENSMUSG00000001105" 0.149664073831009 0.318758181186763 -0.216527968735312 0.551144362324072 0.52484754657178 Amb&Conserved
"ENSMUSG00000001119" 0.22132184549858 0.326151321291628 0.0677113198055418 0.806706525876374 0.675414772316892 Amb&Conserved
"ENSMUSG00000001120" 0.0700164356689076 0.824635829317715 -0.057274661732883 0.937951303864609 0.966583111519896 Amb&Conserved
"ENSMUSG00000001123" 0.115334426932507 0.674682419268703 0.0655063873116566 0.80844575263455 1 Amb&Conserved
