"" "log2FoldChange" "padj" "log2FoldChange" "padj" "liverpvals_coldmale_adj" Amb&Conserved
"ENSMUSG00000001052" 0.238987628680024 0.0870852119758559 -0.162643706290464 0.655913446506246 0.131016741064152 Amb&Conserved
"ENSMUSG00000001054" -0.298245384665949 0.0137741470990915 -0.219278317207281 0.407071182322969 1 Amb&Conserved
"ENSMUSG00000001062" -0.0783037831693616 0.641958675348147 -0.590531969402447 0.0625410904528266 0.152459483055402 Amb&Conserved
"ENSMUSG00000001065" 0.24529877371995 0.204977839285953 0.247450244029833 0.528727994231644 1 Amb&Conserved
"ENSMUSG00000001089" -0.116719029636517 0.42027628956976 0.143109871786937 0.465180907220292 0.489094815963159 Amb&Conserved
"ENSMUSG00000001105" 0.0587705151536428 0.766531808932112 -0.469849960418941 0.0528848940623706 0.00594541169924877 Amb&Conserved
"ENSMUSG00000001119" 1.00552974512035 1.03350712788569e-15 0.433693630007403 0.148140724236862 0.249550213463803 Amb&Conserved
"ENSMUSG00000001120" 0.535588085686357 0.145685275333817 0.645763281485143 0.643517445206335 1 Amb&Conserved
"ENSMUSG00000001123" 0.0224366549572517 0.865420461396782 0.0649958779501368 0.629324656653185 1 Amb&Conserved
"ENSMUSG00000001138" 0.43119436443467 0.00253766023275468 0.373560045283992 0.120846047905478 0.913444170575003 Amb&Conserved
"ENSMUSG00000001143" -0.254483050835872 0.0749121371318182 -0.567235451258006 0.00261222969032386 0.356477856661338 Amb&Conserved
"ENSMUSG00000001150" 0.122934983241197 0.288502299799622 0.252076925358572 0.202459937728304 0.88108713093945 Amb&Conserved
"ENSMUSG00000001151" 0.145694958198374 0.427228294318434 -0.0304397511996514 0.942207138216705 0.658085894628412 Amb&Conserved
"ENSMUSG00000001175" -0.333036888658707 0.0052065063363611 -0.0463389075178603 0.888467790044718 0.154269838543205 Amb&Conserved
"ENSMUSG00000001211" -0.270975705264327 0.00344112218538396 -0.0722301324157065 0.321918069374625 0.0624850840686526 Amb&Conserved
"ENSMUSG00000001229" 0.0742592458627689 0.599662342642479 -0.0372992397716046 0.908854999610615 0.473628959426395 Amb&Conserved
"ENSMUSG00000001240" -0.00227796587734981 0.993736391068546 -0.0567289979620898 0.929551016950581 1 Amb&Conserved
"ENSMUSG00000001288" 0.00805403920903892 0.972725783215604 0.1736174840191 0.723120649527164 0.95015732121759 Amb&Conserved
"ENSMUSG00000001323" -0.129349831478922 0.18386099008848 -0.361569905337285 0.0248075583350537 0.0728768994807316 Amb&Conserved
