"" "log2FoldChange" "padj" "log2FoldChange" "padj" "batpadj" Amb&Conserved
"ENSMUSG00000001707" 0.22078816670376 0.259651385316139 -0.762996748858451 0.247253362317902 0.0714125397045839 Amb&Conserved
"ENSMUSG00000001751" 0.101278674506392 0.616364246497731 -0.204845044969619 0.711735591557776 0.851002033390501 Amb&Conserved
"ENSMUSG00000001767" 0.181606127721155 0.141382602935563 -0.341089002204303 0.121412040530075 0.186428254701593 Amb&Conserved
"ENSMUSG00000001768" -0.0818075253769877 0.492790068201694 -0.0348952068864785 0.928782896434508 0.923363861623981 Amb&Conserved
"ENSMUSG00000001774" 0.134191689828184 0.505324458190146 -0.0447830013393672 0.952383509483159 0.747557418885316 Amb&Conserved
"ENSMUSG00000001783" -0.148840039345969 0.177610582094744 -0.0677572551998951 0.785646477492772 0.744714900884927 Amb&Conserved
"ENSMUSG00000001785" 0.208439182469081 0.056665769703257 0.106111380893416 0.710054518725618 0.989748789609951 Amb&Conserved
"ENSMUSG00000001794" -0.032116256367584 0.847488734789994 -0.198344200621355 0.166648916313621 0.248601042323587 Amb&Conserved
"ENSMUSG00000001829" 0.345165051664123 0.000150705732939382 0.156982737505627 0.783787008224491 0.717593674702502 Amb&Conserved
"ENSMUSG00000001844" -0.144387101513645 0.125183370806765 0.0286806360172108 0.947869049680872 0.587457783259643 Amb&Conserved
"ENSMUSG00000001847" 0.0695493778108449 0.339958493262436 0.255573038359048 0.315917787873835 0.550122505043866 Amb&Conserved
"ENSMUSG00000001855" 0.102333716577221 0.459835144129265 0.309855075007897 0.28383442693899 0.486007943015686 Amb&Conserved
"ENSMUSG00000001870" 0.104483053723319 0.700508043503615 -0.426324474795836 0.689041611027315 0.511126541869036 Amb&Conserved
"ENSMUSG00000001911" -0.239428144425384 0.16112342860062 0.240932353088853 0.637077058886143 0.132504603525357 Amb&Conserved
"ENSMUSG00000001930" -0.275864616753084 0.242816429015092 -0.298899406374398 0.305998734256513 1 Amb&Conserved
"ENSMUSG00000001942" -0.120630452034072 0.331128974222018 -0.0689919054126442 0.861870940497628 0.913385070705857 Amb&Conserved
"ENSMUSG00000001943" 0.193303311922605 0.452600829335263 0.187708212174008 0.710392647516818 1 Amb&Conserved
"ENSMUSG00000001946" -0.189761968036747 0.0825647781130418 -0.794629579296409 0.0303315212438532 0.130493618184686 Amb&Conserved
"ENSMUSG00000001995" -0.141438792128164 0.476910627235719 -0.744381029238688 0.0682612187995155 0.363184135253788 Amb&Conserved
"ENSMUSG00000001998" 0.234318336042563 0.147796773355135 0.097534185962679 0.834673700635842 0.889197039115046 Amb&Conserved
"ENSMUSG00000002020" 0.0674098872626677 0.693479492018361 -0.0333622130402379 0.904395061481264 0.815383672604311 Amb&Conserved
"ENSMUSG00000002028" 0.193526657791051 0.1786531925283 -0.00387487077133306 0.992099540514328 0.630819817572167 Amb&Conserved
"ENSMUSG00000002103" -0.0339734796706223 0.776935413489148 -0.538503556334359 0.506749163746452 0.649827813956146 Amb&Conserved
"ENSMUSG00000002107" 0.038426346963173 0.835663137472928 -0.140523798625185 0.430837521553428 0.534662594186328 Amb&Conserved
"ENSMUSG00000002108" 0.0732830369737914 0.638837910152039 0.0585410726207549 0.886168346809344 0.968259340077664 Amb&Conserved
"ENSMUSG00000002111" -0.377947199844133 0.203705651861241 -0.0941610027763111 0.936818393124877 0.962153494018087 Amb&Conserved
"ENSMUSG00000002129" 0.366060865641649 1.41072617581974e-05 -0.0664104762703483 0.953780913404832 0.65427435947287 Amb&Conserved
"ENSMUSG00000002147" 0.183335370217318 0.00281082746533997 0.0271290333164871 0.952318262394234 0.862072891746614 Amb&Conserved
"ENSMUSG00000002205" 0.254494472048363 0.0544593844892839 0.335849656183932 0.117019795117823 0.796542423557647 Amb&Conserved
"ENSMUSG00000002210" -0.342534782083541 0.000920530096127079 0.27920501066235 0.616601169514752 0.131300530673867 Amb&Conserved
"ENSMUSG00000002221" 0.131529460891506 0.269791217555465 -0.186996861818912 0.569312004584133 0.607834183225246 Amb&Conserved
"ENSMUSG00000002250" -0.177127975677025 0.164184921182331 -0.1733107478311 0.575740390117579 0.955596603219151 Amb&Conserved
"ENSMUSG00000002307" 0.0156131740234577 0.938188418243042 -0.29516195794425 0.351373317531198 0.633207836918877 Amb&Conserved
"ENSMUSG00000002308" -0.570918237856577 0.000186925202985043 -0.408829048164642 0.344287649140975 0.811808201379175 Amb&Conserved
"ENSMUSG00000002319" 0.0976100758013314 0.587147310438568 -0.167430239217405 0.792964583125929 0.864359212485085 Amb&Conserved
"ENSMUSG00000002325" 0.123566949689242 0.428902326151689 -0.0930009859221046 0.876360274933916 0.896294640374311 Amb&Conserved
"ENSMUSG00000002326" -0.173693640106969 0.465343239129122 -0.737188470730237 0.166513623771884 0.756517442182074 Amb&Conserved
"ENSMUSG00000002346" 0.0569580384907638 0.836514116411076 0.0298536331923435 0.915734425456854 0.990956268110998 Amb&Conserved
"ENSMUSG00000002413" -0.0444134655506458 0.79966041973668 0.186724856618722 0.697075444114151 0.683701896692495 Amb&Conserved
